rank,college,city_state,overall,outcome,resources,engagement,environment,right_choice,salary,default_rate,class
434,Le Moyne College,"Syracuse, NY",50.4,20,12.4,15,3,7.55,49000,4.2,Private
437,Emerson College,"Boston, MA",50.3,19.6,11.6,14.2,4.5,7.87,45000,1.9,Private
437,University of Arkansas,"Fayetteville, AR",50.3,20.2,9.3,16.5,4.3,8.33,44000,6.6,Public
437,East Carolina University,"Greenville, NC",50.3,17.8,10.7,16.9,5,8.08,39000,5.2,Public
437,Lincoln Memorial University,"Harrogate, TN",50.3,15.5,16.5,15,3.3,8.26,37000,4,Private
437,University of South Florida,"Tampa, FL",50.3,18.3,8,16.4,7.6,7.98,41000,6.2,Public
437,California Lutheran University,"Thousand Oaks, CA",50.3,19.1,9.8,15.6,5.8,8.23,52000,2.6,Private
443,Louisiana State University,"Baton Rouge, LA",50.1,18.7,10.5,16.3,4.6,8.2,46000,6,Public
443,University of New Hampshire,"Durham, NH",50.1,21.1,9.2,16.5,2.7,8.53,47000,2.1,Public
443,University of Indianapolis,"Indianapolis, IN",50.1,14.6,14.4,16.7,4.3,7.78,42000,6.1,Private
443,Loyola University New Orleans,"New Orleans, LA",50.1,9.9,17.3,17,5.9,8.52,42000,5.6,Private
447,Eastern Illinois University,"Charleston, IL",50,14.5,14.8,16,4.2,8.04,41000,4.8,Public
447,Millikin University,"Decatur, IL",50,15.4,15.1,16.1,3.3,8.24,42000,6.8,Private
449,Southern Nazarene University,"Bethany, OK",49.9,18.6,10.8,16,4.5,8.36,46000,6.7,Private
449,Whitworth University,"Spokane, WA",49.9,16.3,14.1,16.7,2.8,8.87,41000,1.9,Private
451,Misericordia University,"Dallas, PA",49.8,20.2,12.4,15.2,1.9,8.13,48000,5.9,Private
451,Nebraska Wesleyan University,"Lincoln, NE",49.8,19.5,12.1,16.5,1.8,8.24,45000,2.2,Private
453,Gwynedd Mercy University,"Gwynedd Valley, PA",49.7,19.1,12.2,14.3,4.1,7.82,52000,5.3,Private
453,Martin Luther College,"New Ulm, MN",49,21.1,12.4,15,1.3,8.83,40000,0.6,Private
455,Randolph-Macon College,"Ashland, VA",49.6,15.7,16.4,14.9,2.6,7.22,45000,4.4,Private
455,University of Alabama in Huntsville,"Huntsville, AL",49.6,14.7,13.5,15.1,5.1,8.65,46000,5.3,Public
455,McDaniel College,"Westminster, MD",49.6,17.5,14.1,14.8,3.3,8.25,46000,2.5,Private
458,University of New Mexico,"Albuquerque, NM",49.5,14,12.3,15.6,7.6,7.08,35000,12.7,Public
458,Hamline University,"Saint Paul, MN",49.5,19.1,11.3,15.3,3.8,7.24,47000,2.8,Private
460,Maryland Institute College of Art,"Baltimore, MD",49.4,13.5,15.8,14.6,5.5,7.2,32000,3.9,Private
460,University of Massachusetts Boston,"Boston, MA",49.4,14.7,11.9,14.2,8.6,6.52,46000,5.4,Public
460,Clarke University,"Dubuque, IA",49.4,15.5,16.7,15.3,1.9,7.6,41000,3.3,Private
460,University of Texas at Dallas,"Richardson, TX",49.4,17.2,9.9,14.9,7.4,7.23,50000,4.7,Public
464,Hastings College,"Hastings, NE",49.3,16.3,14.9,16.1,1.9,7.66,41000,4.8,Private
464,Christian Brothers University,"Memphis, TN",49.3,16.9,10.3,16.3,5.1,7.72,46000,7.2,Private
464,University of Alabama,"Tuscaloosa, AL",49.3,18,11,16.3,3.9,8.79,42000,5.2,Public
467,University of Nebraska-Lincoln,"Lincoln, NE",49.2,17.9,10.4,16.5,4.4,7.17,44000,2.7,Public
468,Maryville University,"Saint Louis, MO",49.1,20.1,8.4,16.8,3.2,8.15,45000,4.4,Private
468,Fairleigh Dickinson University,"Teaneck, NJ",49.1,12.3,15.3,14.3,7.2,7.32,47000,5,Private
470,"California State University, Chico","Chico, CA",49,21.9,3.8,16.7,6.6,8.05,45000,3.9,Public
470,Western Illinois University,"Macomb, IL",49,11,11.7,16.4,5.9,7.82,41000,7.1,Public
470,The University of the Arts,"Philadelphia, PA",49,11.5,17.3,15.1,5.2,7.99,30000,8.4,Private
473,"California State University, Long Beach","Long Beach, CA",48.9,19.2,4.1,16.8,8.8,8.01,47000,3.5,Public
473,Eastern Nazarene College,"Quincy, MA",48.9,18.8,9.1,14.5,6.4,6.63,45000,6.2,Private
473,University of Toledo,"Toledo, OH",48.9,14.3,12.3,16.5,5.8,7.54,40000,9.9,Public
476,Marymount University,"Arlington, VA",48.8,16.8,11,14.7,6.3,7.22,50000,2.8,Private
476,Morehouse College,"Atlanta, GA",48.8,13.3,14.4,15.2,5.8,8.37,41000,16.2,Private
476,Arcadia University,"Glenside, PA",48.8,13.9,13.6,16.2,5.1,7.63,43000,3.5,Private
476,Truman State University,"Kirksville, MO",48.8,20.8,9.6,15.6,2.8,7.92,43000,3.1,Public
476,University of Minnesota Morris,"Morris, MN",48.8,16,12.8,14.6,5.5,7.11,39000,6.3,Public
476,Salem College,"Winston-Salem, NC",48.8,14.7,11.7,14.5,5.9,6.54,33000,5.1,Private
482,University of Charleston,"Charleston, WV",48.7,19.6,10.6,14.4,4.2,6.07,42000,10.7,Private
482,University of Central Florida,"Orlando, FL",48.7,19.7,5.6,16.6,6.8,8.22,43000,4.8,Public
