rank,college,city_state,overall,outcome,resources,engagement,environment,right_choice,salary,default_rate,class
134,Art Center College of Design,"Pasadena, CA",65.2,24.1,18.7,14.9,7.5,8.97,54000,4,Private
136,Willamette University,"Salem, OR",65.1,23.9,19.6,15.5,6.1,7.83,49000,1.8,Private
137,North Carolina State University at Raleigh,"Raleigh, NC",65,28,15.6,17,4.4,8.36,48000,2.8,Public
138,Indiana University Bloomington,"Bloomington, IN",64.9,28.6,14.1,17.2,5,8.53,45000,3.1,Public
139,"University of California, Irvine","Irvine, CA",64.8,23.5,15.8,16.3,9.1,8.08,55000,2.1,Public
140,Hobart and William Smith Colleges,"Geneva, NY",64.7,25.3,20.5,15.2,3.7,6.88,49000,1.9,Private
141,Illinois Wesleyan University,"Bloomington, IL",64.4,25.7,19.5,15.6,3.6,8.08,54000,1,Private
141,Arizona State University,"Tempe, AZ",64.4,25.7,14,16.7,7.9,8.1,45000,7,Public
143,Ohio Northern University,"Ada, OH",64.3,24.9,19.1,17.5,2.8,8.63,56000,1.9,Private
143,Skidmore College,"Saratoga Springs, NY",64.3,21.4,22.9,15.3,4.7,7.86,43000,2,Private
145,Elon University,"Elon, NC",64.2,25.4,18.6,17.3,2.9,7.74,46000,1.3,Private
145,University of Iowa,"Iowa City, IA",64.2,26.5,15.9,16.9,4.9,8.71,49000,2.8,Public
147,Rutgers University-New Brunswick,New Brunswick NJ,64.1,25.8,14.9,16,7.4,7.8,55000,3.4,Public
147,Stony Brook University,"Stony Brook, NY",64.1,24.6,16.2,15.3,8.1,7.19,55000,3.3,Public
149,University of Delaware,"Newark, DE",64,27.1,15.8,16.7,4.4,7.93,55000,2,Public
150,Centre College,"Danville, KY",63.9,25.9,20.2,15.5,2.3,8.27,44000,1.9,Private
150,Gustavus Adolphus College,"Saint Peter, MN",63.9,25.7,19,16,3.3,7.05,50000,0.5,Private
152,Clarkson University,"Potsdam, NY",63.8,27.2,17.9,14.6,4.2,7.35,68000,1.8,Private
153,Kalamazoo College,"Kalamazoo, MI",63.6,26.5,16.5,15,5.6,8.15,51000,0,Private
153,St Olaf College,"Northfield, MN",63.6,24.9,19.2,16,3.6,8.55,45000,0.7,Private
155,University of Massachusetts Amherst,"Amherst, MA",63.4,27.9,14.6,16.3,4.7,8.22,49000,3.1,Public
155,Michigan Technological University,"Houghton, MI",63.4,25.5,17.4,16.6,3.8,9.28,61000,2,Public
155,Pepperdine University,Malibu. CA,63.4,25.1,15.4,16.2,6.7,8.01,60000,1.9,Private
158,Stonehill College,"Eastc [-_, MA",63.2,27.5,17.5,16.2,2,7.98,59000,0.9,Private
158,Marquette University,"Milwaukee, WI",63.2,26.8,15.4,17.1,3.9,8.16,56000,1.2,Private
160,St Lawrence University,"Canton, NY",63.1,23.5,20,15.9,3.7,8.55,46000,2.5,Private
160,Temple University,"Philadelphia, PA",63.1,23.5,15.4,17.1,7,8.29,47000,4.5,Public
162,Rhodes College,"Memphis, TN",62.9,24.1,20.4,15.4,3,7.73,51000,2.1,Private
162,University of Puget Sound,"Tacoma, WA",62.9,24.5,19.6,16,2.8,7.47,50000,1.8,Private
164,Bradley University,"Peoria, IL",62.9,24.2,17.3,17.6,3.8,8.2,52000,3.3,Private
164,University of San Diego,"San Diego, CA",62.8,25.8,14.9,15.6,6.6,7.67,57000,2.3,Private
166,Linfield College - McMinnville campus,"McMinnville, OR",62.7,24.2,18.3,15.2,5,7.53,52000,1.9,Private
166,Whitman College,"Walla Walla, WA",62.7,21.1,22.7,16.2,2.7,8.22,43000,0.4,Private
168,Santa Clara University,"Santa Clara, CA",62.6,23.4,16.8,16.1,6.4,7.46,68000,1.7,Private
169,Simmons College,"Boston, MA",62.4,22.7,18.9,15.6,5.1,7.22,51000,1.4,Private
170,Berea College,"Berea, KY",62.3,19.4,19.9,16.5,6.5,9.07,34000,10.4,Private
170,University of Tulsa,"Tulsa, OK",62.3,19.1,20.7,17.1,5.4,8.74,43000,2.9,Private
172,Susquehanna University,"Selinsgrove, PA",62.2,24.9,17.5,16.1,3.6,7.72,50000,2.9,Private
172,Washington & Jefferson College,"Washington, PA",62.2,25.7,18.1,15.3,3.3,8.1,49000,2.1,Private
174,University of Colorado Doulder,"Boulder, CO",62.1,27.1,13.7,16.6,4.6,8.34,48000,3.1,Public
174,Ohio Wesleyan University,"Delaware, OH",62.1,21.4,20,16.8,3.9,7.8,42000,5.1,Private
174,Butler University,"Indianapolis, IN",62.1,24.5,18.3,17.3,1.9,8.84,54000,1.5,Private
177,Chapman University,"Orange, CA",61.9,26,14.5,16.4,5.1,8.31,51000,2.1,Private
177,Sewanee-The University of the South,"Sewanee, TN",61.9,21.9,21.1,16.1,2.8,8.52,39000,2.9,Private
179,Lawrence University,"Appleton, WI",61.7,21.6,20.5,15.3,4.3,7.88,42000,2.3,Private
179,Texas Christian University,"Fort Worth, TX",61.7,23.1,16.8,18.1,3.6,8.54,50000,3.1,Private
179,Knox College,"Galesburg, IL",61.7,22.2,18.5,15.3,5.8,7.57,42000,2.6,Private
179,Wo-Fford College,"Spartanburg, SC",61.7,26.2,17.6,15.8,2.1,8.69,48000,3.1,Private
179,University of Arizona,"Tucson, AZ",61.7,25.8,11.9,17,7.1,7.69,44000,5.7,Public
184,Loyola University Maryland,"Baltimore, MD",61.6,25.5,16.9,15.6,3.6,7.88,63000,0.8,Private
184,Drake University,"Des Moines, IA",61.6,24.2,17.1,16.8,3.5,7.45,56000,2.1,Private
184,Missouri University of Science and Technology,"Rolla, MO",61.6,25.7,15.9,14.9,5,8.26,65000,4.3,Public
184,Bryant University,"Smithfield, RI",61.6,27.1,14.4,15.8,4.3,8.3,63000,1.7,Private
188,Clemson University,"Clemson, SC",61.5,27.2,14.1,17,3.1,8.88,50000,3,Public
188,University of Detroit Mercy,"Detroit, MI",61.5,21.6,18.6,16,5.3,8.18,44000,3.3,Private
188,Baylor University,"Waco, TX",61.5,22.4,17.1,17.1,4.3,8.37,49000,4.1,Private
191,Ursinus College,"Collegeville, PA",61.4,25.9,16.3,15.6,3.6,7.8,52000,3.3,Private
191,Colorado School of Mines,"Golden, CO",61.4,26.5,15.3,15.1,4.3,8.59,75000,2.1,Public
191,Hampton University,"Hampton, VA",61.4,21.8,18.3,15.4,5.6,6.86,42000,7,Private
194,Loyola University Chicago,"Chicago, IL",61.3,24.3,15.4,16.1,5.5,6.23,51000,3.2,Private
194,Virginia Military Institute,"Lexington, VA",61.3,26,18.3,14.1,2.2,9.02,58000,2.1,Public
196,"Embry-Riddle Aeronautical University, Daytona Beach","Daytona Reach, FL",61,23.2,16.9,14.6,6.3,8.08,61000,4.9,Private
196,SUNY Binghamton University,"Vestal, NY",61,27.1,10.9,15.6,7.4,6.91,58000,1.9,Public
198,Rutgers University-Newark,"Newark, NJ",60.9,20.3,18.4,14.4,7.8,7.16,55000,3.4,Public
198,Saint Mary's College,"Notre Dame, IN",60.9,23.8,18.9,15.5,2.1,8.12,46000,0.9,Private
198,American University,"Washington, DC",60.9,22.5,16.8,15.4,6.2,7.59,56000,1.5,Private
198,Catholic University of America,"Washington, DC",60.9,17.1,22.8,16.3,4.7,7.31,54000,2.6,Private
202,Muhlenberg College,"Allentown, PA",60.8,25.6,18,15.5,1.8,7.52,56000,3.1,Private
203,Quinnipiac University,"Hamden, CT",60.6,24.9,16.1,16,3.6,7.97,57000,1.5,Private
203,Saint Mary's College of Cali-Fomia,"Moraga, CA",60.6,22,15.8,16.4,6.5,7.49,59000,3.2,Private
205,Beloit College,Beloit WI,60.5,20.2,19.3,16,5,6.7,38000,1.4,Private
205,Drew University,"Madison, NJ",60.5,19.5,19.4,15.2,6.4,7.33,51000,3.9,Private
213,Florida Institute of Technology,"Melbourne, FL",60.1,15.7,21.2,15.1,7.5,8.08,54000,1.1,Private
214,Fairfield University,"Fairfield, CT",60,25.4,16.2,16,2.4,8.13,69000,1.6,Private
214,University of Scranton,"Scranton, PA",60,23.8,17.5,16.8,1.8,7.2,56000,3.2,Private
216,Lake Forest College,"Lake Forest, IL",59.9,22.6,15.8,15.1,6.5,8.03,48000,4.1,Private
216,Cornell College,"Mount Vernon, IA",59.9,22.4,17.1,15.9,3.9,8.7,41000,2.3,Private
218,Saint John's University,"Collegeville, MN",59.8,26.8,15.9,14.5,2.7,7.61,56000,0.9,Private
218,University of the Sciences,"Philadelphia, PA",59.8,18.5,21.9,13.9,5.5,7.57,91000,2.9,Private
220,Xavier University,"Cincinnati, OH",59.7,21.8,16.7,17.3,3.9,7.9,48000,3.1,Private
220,Otis College of Art and Design,"Los Angeles, CA",59.7,19.4,18,14.5,7.8,7.45,44000,3.4,Private
220,Mercer University,"Macon, GA",59.7,19.2,16.7,16.9,6.9,8.25,47000,4.4,Private
220,University of San Francisco,"San Francisco, CA",59.7,20.7,14.8,15.7,8.4,7.31,61000,2.4,Private
224,University of Dayton,"Dayton, OH",59.6,24.4,14.1,17.2,3.8,8.68,51000,2.2,Private
224,St Mary's College of Maryland,"St Mary's City, MD",59.6,21.3,19,15.2,4.1,8.56,48000,3.1,Public
226,Samford University,"Birmingham, AL",59.5,21.5,18.5,17.2,2.3,8.71,46000,2.1,Private
226,Saint Anselm College,"Manchester, NH",59.5,25.9,16.9,15.3,1.4,7.51,54000,1.1,Private
228,Washington State University,"Pullman, WA",59.4,22.8,13.2,17.2,6.3,8.07,47000,3.3,Public
228,"California Polytechnic State University, San Luis Obispo","San Luis Obispo, CA",59.4,28.5,8.4,17.6,5,9,61000,1.8,Public
230,Marietta College,"Marietta, OH",59.3,21,18.9,15.9,3.5,7.71,41000,4.9,Private
230,Manhattan College,"Riverdale, NY",59.3,24,15.3,15.3,4.8,7.68,63000,2.9,Private
230,College of Saint Benedict,"Saint Joseph, MN",59.3,25.3,15.5,15.8,2.5,7.31,47000,0.9,Private
233,Widener University,"Chester, PA",59.1,20.7,17.6,16.1,4.8,7.74,52000,3.9,Private
233,The College of New Jersey,"Ewing, NJ",59.1,24.6,13.2,16.3,5,8.87,56000,1.5,Public
233,Lewis & Clark College,"Portland, OR",59.1,21.5,18.2,14.8,4.7,7.47,42000,1.6,Private
233,Gonzalo University,"Spokane, WA",59.4,23.3,16.6,16.3,2.9,9.14,53000,1.1,Private
237,Wheaton College (Illinois),"Wheaton, IL",59,22.7,17.1,15.9,3.3,7.93,43000,0.4,Private
238,Austin College,"Sherman, TX",58.8,22.2,16.3,15.4,4.8,7.96,48000,5.4,Private
239,Providence College,"Providence, RI",58.7,24.7,15.2,16.4,2.3,7.39,59000,2.9,Private
239,Clark University,"Worcester, MA",58.7,18.7,18.6,15.2,6.1,7.64,43000,1.7,Private
241,University of Colorado Denver,"Denver, CO",58.6,20.2,17.3,14.7,6.4,7.71,66000,3.3,Public
241,Hope College,"Holland, MI",58.6,22.7,15.9,17.2,1.8,8.51,43000,2.1,Private
243,Luther College,"Decorah, IA",58.5,22.2,17.9,15.8,2.5,8.17,42000,1.2,Private
243,Elizabethtown College,"Elizabethtown, PA",58.5,22.2,17.8,15.7,2.7,8.05,48000,2.2,Private
243,Hanover College,"Hanover, IN",58.5,21.2,18.4,15.7,3.1,8.39,43000,4.3,Private
246,Augustana College (Illinois),"Rock Island, IL",58.4,23.5,14.7,16.9,3.3,8.22,49000,3,Private
247,Albion College,"Albion, MI",58.3,20,19.3,16.7,2.3,7.55,45000,3.6,Private
247,University of Vermont,"Burlington, VT",58.3,22.5,16.7,16.6,2.5,7.11,44000,3,Public
249,Westminster College (Pennsylvania),"New Wilmington, PA",58.2,23.8,16.9,16.1,1.5,7.51,44000,2.7,Private
249,Duquesne University,"Pittsburgh, PA",58.2,24.2,15.4,16.4,2.2,7.17,54000,2.6,Private
251,Dominican University of California,"San Rafael, CA",58,13,19.2,14.7,6.2,7.25,52000,4.3,Private
251,Rollins College,"Winter Park, FL",58,13,18.7,16,5.3,8.79,42000,3.9,Private
253,"Embry-Riddle Aeronautical University, Prescott","Prescott, AZ",57.8,24.1,13,15.3,5.4,8.57,61000,4.9,Private
253,Earlham College,"Richmond, IN",57.8,13.8,22.2,15.3,6.5,8.24,33000,3.4,Private
255,University of Oklahoma,"Norman, OK",57.7,22.2,12.9,16.6,6,7.9,47000,4.6,Public
255,Florida State University,"Tallahassee, FL",57.7,25.8,9.4,16.8,5.7,8.38,44000,4.4,Public
257,SUNY University at Albany,"Albany, NY",57.5,22.4,13,14.6,7.5,7.19,50000,4.5,Public
257,Hofstra University,"Hempstead, NY",57.5,17.9,17.2,16.7,5.7,7.51,53000,3.3,Private
257,Westmont College,"Santa Barbara, CA",57.5,21.9,16,15.2,4.4,8.45,48000,1.5,Private
257,Valparaiso University,"Valparaiso, IN",57.5,20.7,15.5,17.1,4.2,8.12,49000,3.6,Private
261,University of Georgia,"Athens, GA",57.3,25.3,10.3,17.1,4.7,8.35,47000,2.3,Public
262,Pratt Institute,"Brooklyn, NY",57.2,17.2,18.9,14.6,6.5,8.06,40000,4.1,Private
262,University of Kansas,"Lawrence, KS",57.2,18.5,16.4,17,5.3,8.32,45000,4.3,Public
264,Alma College,"Alma, MI",57.1,20.4,18.4,15.6,2.6,8.52,44000,2.3,Private
264,Sarah Lawrence College,"Bronxville, NY",57.1,16.2,20.5,14.6,5.8,8.06,38000,2.2,Private
264,Transylvania University,"Lexington, KY",57.1,22.2,17.1,15.6,2.1,8.82,40000,2.6,Private
264,John Carroll University,"University Heights, OH",57.1,24.4,14.3,15.6,2.8,7.44,51000,2.7,Private
268,University of Alabama at Birmingham,"Birmingham, AL",57,18.8,15.9,15.7,6.6,8.13,40000,5.4,Public
268,University of South Carolina-Columbia,"Columbia, SC",57,21.6,12.7,16.2,4.5,8.18,42000,4.6,Public
268,Concordia College at Moorhead,"Moorhead, MN",57,21.7,15.8,17.6,1.9,8.83,41000,1.4,Private
271,CUNY Bernard M. Baruch College,"New York, NY",56.9,25.8,8.2,14.1,8.8,7.04,54000,2.5,Public
272,CUNY City College of New York,"New York, NY",56.8,15.5,17.9,14.6,8.8,7.04,45000,5,Public
272,"University of California, Riverside","Riverside, CA",56.8,18.9,13.5,16,8.5,8,48000,2.8,Public
274,George Mason University,"Fairfax, VA",56.7,23.7,11,15.7,6.4,7.39,57000,2.1,Public
274,Southwestern University,"Georgetown, TX",56.7,19.1,17,15.9,4.8,8.63,47000,4.1,Private
274,Houghton College,"Houghton, NY",56.7,21.7,16.4,15.8,2.8,8.09,40000,1,Private
274,Augustana College (South Dakota),"Sioux Falls, SD",56.7,21.6,16.6,16.1,2.3,7.92,42000,2.3,Private
278,Adelphi University,"Garden City, NY",56.6,18.8,16,15,6.8,6.75,51000,1.5,Private
279,Bard College,"Annandale-On-Hudson, NY",56.4,16.2,22.2,14,4.1,6.74,37000,2.8,Private
279,Goucher College,"Baltimore, MD",56.4,18.8,18.2,14.5,4.9,7.2,46000,3.7,Private
281,DePaul University,"Chicago, IL",56.3,21.5,11.4,16.8,6.7,7.49,51000,3.4,Private
282,Hendrix College,"Conway, AR",56.2,18.6,18.8,15.8,3,7.81,40000,3.8,Private
283,Moravian College,"Bethlehem, PA",55.9,22,15.1,15.5,3.3,8.29,49000,4.2,Private
284,Suffolk University,"Boston, MA",55.8,18.1,14.8,15.8,7.1,6.6,51000,3.2,Private
284,Oklahoma City University,"Oklahoma City, OK",55.8,14.2,18.7,17.5,5.5,8.51,40000,3.8,Private
285,California College of the Arts ,"San Francisco, CA",55.6,14.7,18,14.6,8.3,8.05,34000,5.6,Private
286,University of Oregon,"Eugene, OR",55.7,21.9,11.5,16.2,6.2,7.95,42000,3.1,Public
286,"University of California, Santa Cruz","Santa Cruz, CA",55.7,21.8,11.2,14.9,7.7,7.4,44000,3.1,Public
286,Pacific Lutheran University ,"Tacoma, WA",55.7,19.6,15.2,15.7,5.2,8.13,46000,3.4,Private
289,Rutgers University-Camden,"Camden, NJ",55.6,16.9,17.9,14.1,6.7,7.52,55000,3.4,Public
289,Western New England University,"Springfield, MA",55.6,18.7,16.3,16,4.6,8.33,56000,4.1,Private
303,Hampshire College,"Amherst, MA",55.1,13.6,19.9,16.3,5.3,7.92,32000,3.6,Private
305,Lebanon Valley College,"Annville, PA",54.9,20.9,16.6,15.3,2.2,8.21,46000,3.2,Private
306,Auburn University,"Auburn, AL",54.8,21.1,13,17.6,3.1,8.91,46000,4.3,Public
306,Baldwin Wallace University,"Berea, OH",54.8,20.8,13.6,17.2,3.2,7.99,44000,4.1,Private
306,CUNY Hunter College,"New York, NY",54.8,18.3,13.5,14.6,8.4,6.59,45000,3.9,Public
306,Point Loma Nazarene University,"San Diego, CA",54.8,21.6,11,17.4,4.9,9.1,49000,2.3,Private
310,Kettering University,"Flint, MI",54.7,19.8,14.8,14.8,5.2,8.24,76000,1.9,Private
310,University of Hartford,"West Hartford, CT",54.7,15.6,18.5,15.7,4.9,7.15,46000,4.2,Private
312,Saint Michael's College,"Colchester, VT",54.6,21.9,14.9,15.8,2,8.52,46000,3,Private
312,College for Creative Studies,"Detroit, MI",54.6,18.6,16.2,15,4.9,8.07,40000,5.6,Private
312,The University of Tennessee-Knoxville,"Knoxville, TN",54.6,20.2,14,16.6,3.8,8.29,42000,4.8,Public
312,Miami University,"Oxford, OH",54.6,20.9,11.4,17.5,4.7,8.22,46000,9.3,Public
312,University of Utah,"Salt Lake City, UT",54.6,19,13.5,17.1,4.9,8.36,49000,3.4,Public
312,University of Washington-Tacoma,"Tacoma, WA",54.6,15.5,16.1,15.4,7.6,7.76,53000,2.6,Public
312,Taylor University,"Upland, IN",54.6,18.7,15.7,17.5,2.7,8.62,38000,2,Private
319,Pacific University,"Forest Grove, OR",54.5,14,18.8,15.8,5.9,8,42000,1.8,Private
319,Colorado State University-Fort Collins,"Fort Collins, CO",54.5,20.9,12.7,17,3.9,8.45,44000,2.5,Public
319,University of Hawaii at Manoa,"Honolulu, HI",54.5,11.2,19.9,15.6,7.8,7.7,44000,4.3,Public
322,Rowan University,"Glassboro, NJ",54.3,20.3,12.7,15.8,5.6,8.61,49000,4.4,Public
322,Hampden-Sydney College,"H arnpden-Sydney, VA",54.3,17.9,19.4,15.4,1.7,8.18,50000,3.9,Private
322,William Jewell College,"Liberty, MO",54.3,18,17.5,16.3,2.4,8.65,41000,4.6,Private
322,Bellarrnine University,"Louisville, KY",54.3,20,16,16.2,2.1,8.59,46000,4.4,Private
322,Pace University-New York,"New York, NY",54.3,19.3,11.7,15.9,7.4,6.5,58000,4.3,Private
322,Saint Joseph's University,"Philadelphia, PA",54.3,20.9,13.1,16.8,3.4,8.33,58000,3.2,Private
328,University of Cincinnati-Uptown,"Cincinnati, OH",54.2,19.5,12.5,17.3,4.8,8.36,39000,7.6,Public
328,University of Mississippi,"University, MS",54.2,19,14.3,16.5,4.5,8.79,41000,7.6,Public
330,University of Missouri-Columbia,"Columbia, MO",54,22.8,11.2,16.1,4,7.45,46000,4.4,Public
330,Illinois College,"Jacksonville, IL",54,16.7,18.2,14.9,4.1,7.74,38000,4,Private
330,Saint Francis University,"Loretto, PA",54,22.9,12.4,16.8,1.9,8.49,47000,4.7,Private
330,"University of Nevada, Reno","Reno, NV",54,19,12.3,16.5,6.3,8.13,45000,5.2,Public
334,Cedar Crest College,"Allentown, PA",53.9,17,14.8,17.3,4.9,8.48,46000,4.3,Private
335,Andrews University,"Berrien Springs, MI",53.8,10.9,18.7,16.1,8,7.85,35000,4.1,Private
335,Nova Southeastern University,"Fort Lauderdale, FL",53.8,14.9,14.9,16,8,7.69,46000,3.1,Private
335,Nazareth College,"Rochester, NY",53.8,15.6,18.1,16.7,3.3,7.78,44000,2.5,Private
338,CUNY Brooklyn College,"Brooklyn, NY",53.7,20.4,9.8,15.5,8,7.46,44000,4.4,Public
338,Southern Illinois University Carbondale,"Carbondale, IL",53.1,14.3,15.9,16.4,7,7.84,41000,8.7,Public
340,Stetson University,"Die Land, FL",53.6,15.2,17.2,15.6,5.5,7.11,42000,3.7,Private
340,Saint Vincent College,"Latrobe, PA",53.6,22.1,13.7,16,1.8,8.13,45000,3,Private
340,Tuskegee University,"Tuskegee, AL",53.6,15.7,17.4,15,5.6,7.73,37000,1.2,Private
343,University of New England,"Biddeford, ME",53.5,21.5,15.5,14.9,1.5,6.91,45000,2.6,Private
343,University of Redlands,"Redlands, CA",53.5,21.2,10.7,15.8,5.8,8.08,53000,2.7,Private
345,Brigham Young University-Hawaii,"Laie, HI",53.4,19.9,9.6,16.5,7.5,9.39,40000,5.7,Private
346,Queens University of Charlotte,"Charlotte, NC",53.3,15.7,17.2,15.6,4.9,7.27,38000,5.9,Private
346,Carroll College,"Helena, MT",53.3,22.1,13.4,16.3,1.4,8.14,45000,2.1,Private
348,University of Washington-Bothell,"Bothell, WA",53.2,16.5,14.3,14.8,7.7,7.73,53000,2.6,Public
348,Rider University,"Lawrenceville, NJ",53.2,17.4,15.6,15.2,5,7.07,49000,4.8,Private
348,Merrimack College,North Andover MA,53.2,22.1,12.3,15.9,3,7.48,56000,3.9,Private
348,University of St Thomas,"Saint Paul, MN",53.2,19.7,13.7,16.6,3.3,7.9,50000,1.9,Private
348,Springfield College,"Springfield, MA",53.2,21.5,13.8,15.2,2.7,8.19,44000,7.1,Private
353,St Norbert College,"De Pere, WI",53.1,21.8,12.6,17,1.7,8.34,45000,1.3,Private
353,St John Fisher College,"Rochester, NY",53.1,18.8,15.4,16,2.9,8.48,45000,3,Private
355,MCPHS University,"Boston, MA",53,23.8,9.4,13,6.8,6.36,115000,1.6,Private
355,Kansas State University,"Manhattan, KS",53,18,13.3,17.3,4.3,8.76,43000,5,Public
357,University of Maryland. Baltimore County,"Baltimore, MD",52.9,21.6,9.4,15,6.9,7.35,54000,3.7,Public
357,Xavier University of Louisiana,"New Orleans, LA",52.9,18.1,12.9,15.4,6.5,6.38,47000,8.5,Private
357,Lawrence Technological University,"Southfield, MI",52.9,18,14.7,15.2,5,8.38,54000,3.7,Private
360,Azusa Pacific University,"Azusa, CA",52.8,16.2,13.8,15.6,7.2,8.33,50000,3,Private
360,Elmhurst College,"Elmhurst, IL",52.8,21.9,10.5,16.6,3.9,7.49,48000,1.8,Private
360,University of Kentucky,"Lexington, KY",52.8,19.3,13,16.8,3.8,8.07,42000,4.5,Public
360,Hartwick College,"Oneonta, NY",52.8,17.8,17.3,14.4,3.2,6.9,44000,6.2,Private
360,Albright College,"Reading, PA",52.2,21.3,11,14.9,5.5,6.47,47000,4.6,Private
360,Assumption College,"Worcester, MA",52.8,22.9,12.3,15.4,2.2,7.27,53000,2.8,Private
366,SU NY College of Environmental Science and Forestry,"Syracuse, NY",52.7,19,15.2,15.7,2.7,9.06,43000,2.5,Public
367,Canisius College,"Buffalo, NY",52.6,18,15.5,15.9,3.1,7.11,46000,3.5,Private
367,Cedarville University,"Cedarville, OH",52.6,21.1,12,17.9,1.6,8.7,41000,2,Private
367,Marian University (Indiana),"Indianapolis, IN",52.6,19.2,15.1,15,3.3,7.37,41000,5.3,Private
367,CU NY Queens College,"Queens, NY",52.6,19.9,9.4,15.5,7.9,7.28,48000,1.5,Public
