loc_string,Address,Latitude,Longitude
"Boston College, Chestnut Hill„ MA, USA","Chestnut Hill, MA 02467, USA",42.3355488,-71.1684945
"Hamilton College, Clinton, NY, USA","198 College Hill Rd, Clinton, NY 13323, USA",43.0525874,-75.4050437
"University of Richmond, University of Richmond, VA, USA","28 Westhampton Way, Richmond, VA 23173, USA",37.5758681,-77.5409744
"Oberlin College, Oberlin, OH, USA","173 W Lorain St, Oberlin, OH 44074, USA",41.293483,-82.2236001
"George Washington University, Washington, DC, USA","2121 I St NW, Washington, DC 20052, USA",38.8997145,-77.0485992
"Colby College, Waterville, ME, USA","4000 Mayflower Hill Dr, Waterville, ME 04901, USA",44.5638691,-69.6626362
"Northeastern University, Boston, MA, USA","360 Huntington Ave, Boston, MA 02115, USA",42.3398067,-71.0891717
"Bates College, Lewiston, ME, USA","2 Andrews Rd, Lewiston, ME 04240, USA",44.1057216,-70.2021865
"Vassar College, Poughkeepsie, NY, USA","124 Raymond Ave, Poughkeepsie, NY 12604, USA",41.6867992,-73.8957002
"Ohio State University, Columbus, OH, USA","Columbus, OH 43210, USA",40.0141905,-83.0309143
"Lafayette College, Easton, PA, USA","730 High St, Easton, PA 18042, USA",40.6986202,-75.2087298
"University of Wisconsin-Madison, Madison, WI, USA","Madison, WI 53706, USA",43.076592,-89.4124875
"Tulane University, New Orleans.. LA, USA","6823 St Charles Ave, New Orleans, LA 70118, USA",29.9403477,-90.1207279
"Washington and Lee University, Lexington, VA, USA","204 W Washington St, Lexington, VA 24450, USA",37.7904861,-79.4449563
"Barnard College, New York NY, USA","3009 Broadway, New York, NY 10027, USA",40.8090974,-73.9639632
"Grinnell College, Grinnell, IA, USA","1115 8th Ave, Grinnell, IA 50112, USA",41.7490571,-92.7201302
"University of Pittsburgh-Pittsburgh campus, Pittsburgh, PA, USA","4200 Fifth Ave, Pittsburgh, PA 15260, USA",40.4443533,-79.960835
"Mount Holyoke College, South Hadley, MA, USA","50 College St, South Hadley, MA 01075, USA",42.2532535,-72.5761394
"Macalester College, Saint Paul, MN, USA","1600 Grand Ave, St Paul, MN 55105, USA",44.9397631,-93.1687294
"Trinity University, San Antonio, TX, USA","1 Trinity Pl, San Antonio, TX 78212, USA",29.4618444,-98.4831622
"Michigan State University, East Lansing, MI, USA","220 Trowbridge Rd, East Lansing, MI 48824, USA",42.701848,-84.4821719
"Southern Methodist University, Dallas, TX, USA","Dallas, TX 75205, USA",32.8412178,-96.7845175
"University of Maryland, College Park, College Park, MD, USA","College Park, MD 20742, USA",38.9869183,-76.9425543
"Worcester Polytechnic Institute, Worcester, MA, USA","100 Institute Rd, Worcester, MA 01609, USA",42.2746373,-71.806339
"Denison University, Granville, OH, USA","100 W College St, Granville, OH 43023, USA",40.074025,-82.522643
"Drexel University, Philadelphia, PA, USA","3141 Chestnut St, Philadelphia, PA 19104, USA",39.9566127,-75.1899441
"College of the Holy Cross, Worcester, MA, USA","1 College St, Worcester, MA 01610, USA",42.2392391,-71.8079608
"Rensselaer Polytechnic Institute, Troy, NY, USA","110 8th St, Troy, NY 12180, USA",42.730172,-73.678803
"Brandeis University, Waltham, MA, USA","415 South St, Waltham, MA 02453, USA",42.364989,-71.258663
