loc_string,Address,Latitude,Longitude
"Pratt Institute, Brooklyn, NY, USA","200 Willoughby Ave, Brooklyn, NY 11205, USA",40.6912807,-73.962537
"University of Kansas, Lawrence, KS, USA","1450 Jayhawk Blvd, Lawrence, KS 66045, USA",38.9543439,-95.2557961
"Alma College, Alma, MI, USA","614 W Superior St, Alma, MI 48801, USA",43.379011,-84.669939
"Sarah Lawrence College, Bronxville, NY, USA","1 Mead Way, Bronxville, NY 10708, USA",40.9360524,-73.8433974
"Transylvania University, Lexington, KY, USA","300 N Broadway, Lexington, KY 40508, USA",38.053147,-84.4936508
"John Carroll University, University Heights, OH, USA","1 John Carroll Boulevard, University Heights, OH 44118, USA",41.4905062,-81.5293126
"University of Alabama at Birmingham, Birmingham, AL, USA","1720 2nd Ave S, Birmingham, AL 35294, USA",33.5021227,-86.8064447
"University of South Carolina-Columbia, Columbia, SC, USA","Columbia, SC 29208, USA",33.996112,-81.0274276
"Concordia College at Moorhead, Moorhead, MN, USA","901 8th St S, Moorhead, MN 56562, USA",46.8628042,-96.7700579
"CUNY Bernard M. Baruch College, New York, NY, USA","55 Lexington Ave, New York, NY 10010, USA",40.7401991,-73.9833745
"CUNY City College of New York, New York, NY, USA","160 Convent Ave, New York, NY 10031, USA",40.8200471,-73.9492724
"University of California, Riverside, Riverside, CA, USA","900 University Ave, Riverside, CA 92521, USA",33.9737055,-117.3280644
"George Mason University, Fairfax, VA, USA","4400 University Dr, Fairfax, VA 22030, USA",38.8315541,-77.3120885
"Southwestern University, Georgetown, TX, USA","1001 E University Ave, Georgetown, TX 78626, USA",30.6349251,-97.6651268
"Houghton College, Houghton, NY, USA","1 Willard Ave, Houghton, NY 14744, USA",42.4268184,-78.1558062
"Augustana College (South Dakota), Sioux Falls, SD, USA","2001 S Summit Ave, Sioux Falls, SD 57197, USA",43.5226043,-96.7396893
"Adelphi University, Garden City, NY, USA","1 South Ave, Garden City, NY 11530, USA",40.719728,-73.6517116
"Bard College, Annandale-On-Hudson, NY, USA","30 Campus Rd, Annandale-On-Hudson, NY 12504, USA",42.0203897,-73.9100544
"Goucher College, Baltimore, MD, USA","1021 Dulaney Valley Rd, Baltimore, MD 21204, USA",39.408765,-76.596545
"DePaul University, Chicago, IL, USA","1 E Jackson Blvd, Chicago, IL 60604, USA",41.8780698,-87.6273717
"Hendrix College, Conway, AR, USA","1600 Washington Ave, Conway, AR 72032, USA",35.1000469,-92.4420118
"Moravian College, Bethlehem, PA, USA","1200 Main St, Bethlehem, PA 18018, USA",40.6308814,-75.3812135
"Suffolk University, Boston, MA, USA","8 Ashburton Pl, Boston, MA 02108, USA",42.3585205,-71.0613561
"Oklahoma City University, Oklahoma City, OK, USA","2501 N Blackwelder Ave, Oklahoma City, OK 73106, USA",35.4955747,-97.5410682
"California College of the Arts , San Francisco, CA, USA","1111 8th St, San Francisco, CA 94107, USA",37.7675281,-122.3995023
"University of Oregon, Eugene, OR, USA","1585 E 13th Ave, Eugene, OR 97403, USA",44.0448302,-123.0726055
"University of California, Santa Cruz, Santa Cruz, CA, USA","1156 High St, Santa Cruz, CA 95064, USA",36.9913856,-122.0608718
"Pacific Lutheran University , Tacoma, WA, USA","12180 Park Ave S, Tacoma, WA 98447, USA",47.1453532,-122.4440668
"Rutgers University-Camden, Camden, NJ, USA","303 Cooper St, Camden, NJ 08102, USA",39.9492076,-75.1229174
"Western New England University, Springfield, MA, USA","1215 Wilbraham Rd, Springfield, MA 01119, USA",42.1149784,-72.5186855
"Hampshire College, Amherst, MA, USA","893 West St, Amherst, MA 01002, USA",42.325559,-72.5322956
"Lebanon Valley College, Annville, PA, USA","101 College Ave, Annville, PA 17003, USA",40.331103,-76.514699
"Auburn University, Auburn, AL, USA","Auburn, AL 36849, USA",32.5933574,-85.4951663
"Baldwin Wallace University, Berea, OH, USA","275 Eastland Rd, Berea, OH 44017, USA",41.3711165,-81.8478088
"CUNY Hunter College, New York, NY, USA","695 Park Ave, New York, NY 10065, USA",40.7685406,-73.9646251
"Point Loma Nazarene University, San Diego, CA, USA","3900 Lomaland Dr, San Diego, CA 92106, USA",32.716863,-117.250694
"Kettering University, Flint, MI, USA","1700 University Ave, Flint, MI 48504, USA",43.0115468,-83.7138531
"University of Hartford, West Hartford, CT, USA","200 Bloomfield Ave, West Hartford, CT 06117, USA",41.7985989,-72.7140002
"Saint Michael's College, Colchester, VT, USA","One Winooski Park, Colchester, VT 05439, United States",44.4951628,-73.1627561
"College for Creative Studies, Detroit, MI, USA","201 E Kirby St, Detroit, MI 48202, USA",42.3613975,-83.0627864
"The University of Tennessee-Knoxville, Knoxville, TN, USA","Knoxville, TN 37996, USA",35.9544013,-83.9294564
"Miami University, Oxford, OH, USA","501 E High St, Oxford, OH 45056, USA",39.5105334,-84.7308768
"University of Utah, Salt Lake City, UT, USA","201 Presidents Cir, Salt Lake City, UT 84112, USA",40.7649368,-111.8421021
"University of Washington-Tacoma, Tacoma, WA, USA","1900 Commerce St, Tacoma, WA 98402, USA",47.2445799,-122.4376184
"Taylor University, Upland, IN, USA","236 W Reade Ave, Upland, IN 46989, USA",40.4568032,-85.4976242
"Pacific University, Forest Grove, OR, USA","2043 College Way, Forest Grove, OR 97116, USA",45.5209028,-123.1096408
"Colorado State University-Fort Collins, Fort Collins, CO, USA","Fort Collins, CO 80523, USA",40.573436,-105.0865473
"University of Hawaii at Manoa, Honolulu, HI, USA","2500 Campus Rd, Honolulu, HI 96822, USA",21.296939,-157.8171118
"Rowan University, Glassboro, NJ, USA","201 Mullica Hill Rd, Glassboro, NJ 08028, USA",39.7098595,-75.1189478
"Hampden-Sydney College, H arnpden-Sydney, VA, USA","80 College Rd, Hampden Sydney, VA 23943, USA",37.2403758,-78.4610298
"William Jewell College, Liberty, MO, USA","500 College Hill, Liberty, MO 64068, USA",39.2473119,-94.412117
"Bellarrnine University, Louisville, KY, USA","2001 Newburg Rd, Louisville, KY 40205, USA",38.2184666,-85.7046817
"Pace University-New York, New York, NY, USA","1 Pace Plaza, New York, NY 10038, USA",40.7111197,-74.0048567
"Saint Joseph's University, Philadelphia, PA, USA","5600 City Ave, Philadelphia, PA 19131, USA",39.9946832,-75.2416405
"University of Cincinnati-Uptown, Cincinnati, OH, USA","2600 Clifton Ave, Cincinnati, OH 45220, USA",39.1329219,-84.5149504
"University of Mississippi, University, MS, USA","University, MS 38677, USA",34.3647324,-89.538443
"University of Missouri-Columbia, Columbia, MO, USA","Columbia, MO 65211, USA",38.9403808,-92.3277375
"Illinois College, Jacksonville, IL, USA","1101 W College Ave, Jacksonville, IL 62650, USA",39.730211,-90.24675
"Saint Francis University, Loretto, PA, USA","117 Evergreen Drive, Loretto, PA 15940, USA",40.50382,-78.6376191
"University of Nevada, Reno, Reno, NV, USA","1664 N Virginia St, Reno, NV 89557, USA",39.5441917,-119.816397
"Cedar Crest College, Allentown, PA, USA","100 College Drive, Allentown, PA 18104, USA",40.5859377,-75.5196631
"Andrews University, Berrien Springs, MI, USA","8975 US Highway 31, Berrien Springs, MI 49104, USA",41.9640692,-86.3591164
"Nova Southeastern University, Fort Lauderdale, FL, USA","3301 College Ave, Fort Lauderdale, FL 33314, USA",26.0789364,-80.2462675
"Nazareth College, Rochester, NY, USA","4245 East Ave, Rochester, NY 14618, USA",43.1030175,-77.520027
"CUNY Brooklyn College, Brooklyn, NY, USA","2900 Bedford Ave, Brooklyn, NY 11210, USA",40.6314406,-73.9544488
"Southern Illinois University Carbondale, Carbondale, IL, USA","1263 Lincoln Dr, Carbondale, IL 62901, USA",37.7090577,-89.2249134
"Stetson University, Die Land, FL, USA","421 N Woodland Blvd, DeLand, FL 32723, USA",29.035664,-81.3015046
"Saint Vincent College, Latrobe, PA, USA","300 Fraser Purchase Rd, Latrobe, PA 15650, USA",40.2914205,-79.4003653
"Tuskegee University, Tuskegee, AL, USA","1200 W Montgomery Rd, Tuskegee, AL 36088, USA",32.430678,-85.7072853
"University of New England, Biddeford, ME, USA","11 Hills Beach Rd, Biddeford, ME 04005, USA",43.4582904,-70.3865402
"University of Redlands, Redlands, CA, USA","1200 E Colton Ave, Redlands, CA 92374, USA",34.0630404,-117.1632426
"Brigham Young University-Hawaii, Laie, HI, USA","55-220 Kulanui St, Laie, HI 96762, USA",21.6420138,-157.925331
"Queens University of Charlotte, Charlotte, NC, USA","1900 Selwyn Ave, Charlotte, NC 28207, USA",35.1885164,-80.83279
"Carroll College, Helena, MT, USA","1601 N Benton Ave, Helena, MT 59625, USA",46.600734,-112.03888
"University of Washington-Bothell, Bothell, WA, USA","18115 Campus Way NE, Bothell, WA 98011, USA",47.7589,-122.1906495
"Rider University, Lawrenceville, NJ, USA","2083 Lawrenceville Rd, Lawrenceville, NJ 08648, USA",40.279623,-74.738187
"Merrimack College, North Andover MA, USA","315 Turnpike St, North Andover, MA 01845, USA",42.6677049,-71.1225705
"University of St Thomas, Saint Paul, MN, USA","2115 Summit Ave, St Paul, MN 55105, USA",44.941751,-93.1914909
"Springfield College, Springfield, MA, USA","263 Alden Street, Springfield, MA 01109, United States",42.1022292,-72.5565631
"St Norbert College, De Pere, WI, USA","316 3rd St, De Pere, WI 54115, USA",44.44485,-88.0663767
"St John Fisher College, Rochester, NY, USA","3690 East Ave, Rochester, NY 14618, USA",43.115372,-77.511511
"MCPHS University, Boston, MA, USA","179 Longwood Ave, Boston, MA 02115, USA",42.3367994,-71.101197
"Kansas State University, Manhattan, KS, USA","Manhattan, KS 66506, USA",39.1974437,-96.5847249
"University of Maryland. Baltimore County, Baltimore, MD, USA","1000 Hilltop Cir, Baltimore, MD 21250, USA",39.2556129,-76.7109751
"Xavier University of Louisiana, New Orleans, LA, USA","1 Drexel Dr, New Orleans, LA 70125, USA",29.963863,-90.107084
"Lawrence Technological University, Southfield, MI, USA","21000 W 10 Mile Rd, Southfield, MI 48075, USA",42.4755011,-83.2497967
"Azusa Pacific University, Azusa, CA, USA","901 E Alosta Ave, Azusa, CA 91702, USA",34.1300755,-117.8883593
"Elmhurst College, Elmhurst, IL, USA","190 S Prospect Ave, Elmhurst, IL 60126, USA",41.895871,-87.945605
"University of Kentucky, Lexington, KY, USA","Lexington, KY 40506, USA",38.0306511,-84.5039697
"Hartwick College, Oneonta, NY, USA","1 Hartwick Dr, Oneonta, NY 13820, USA",42.4573534,-75.0728868
"Albright College, Reading, PA, USA","1621 N 13th St, Reading, PA 19604, USA",40.3615027,-75.910629
"Assumption College, Worcester, MA, USA","500 Salisbury St, Worcester, MA 01609, USA",42.2947143,-71.8289631
"SU NY College of Environmental Science and Forestry, Syracuse, NY, USA","1 Forestry Dr, Syracuse, NY 13210, USA",43.0344612,-76.1369148
"Canisius College, Buffalo, NY, USA","2001 Main St, Buffalo, NY 14208, USA",42.9248338,-78.8514848
"Cedarville University, Cedarville, OH, USA","251 N Main St, Cedarville, OH 45314, USA",39.7495714,-83.8126484
"Marian University (Indiana), Indianapolis, IN, USA","3200 Cold Spring Rd, Indianapolis, IN 46222, USA",39.8168739,-86.203026
"CU NY Queens College, Queens, NY, USA","65-30 Kissena Blvd, Queens, NY 11367, USA",40.7379735,-73.8172393
"University of Wyoming, Laramie, WY, USA","1000 E University Ave, Laramie, WY 82071, USA",41.3148754,-105.5665744
"Messiah College, Mechanicsburg, PA, USA","1 College Ave, Mechanicsburg, PA 17055, USA",40.157957,-76.988194
"New Jersey Institute of Technology, Newark, NJ, USA","323 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, USA",40.7423345,-74.1793409
"Wartburg College, Waverly, IA, USA","100 Wartburg Blvd, Waverly, IA 50677, USA",42.7285775,-92.4821589
"Milwaukee School of Engineering, Milwaukee, WI, USA","1025 N Broadway, Milwaukee, WI 53202, USA",43.0440495,-87.9084479
"King's College, Wilkes-Barre, PA, USA","133 N River St, Wilkes-Barre, PA 18711, USA",41.2499673,-75.8792853
"The Citadel, The Military College of South Carolina, Charleston, SC, USA","171 Moultrie St, Charleston, SC 29409, USA",32.797075,-79.9606739
"Georgetown College, Georgetown, KY, USA","400 E College St, Georgetown, KY 40324, USA",38.2070067,-84.5543228
"West Virginia University, Morgantown, WV, USA","Morgantown, WV 26506, USA",39.6361396,-79.9559358
"Campbell University, Rules Creek, NC, USA",,,
"St Catherine University, Saint Paul, MN, USA","2004 Randolph Ave, St Paul, MN 55105, USA",44.925308,-93.182822
"San Diego State University, San Diego, CA, USA","5250 Campanile Dr, San Diego, CA 92182, USA",32.7757217,-117.0718893
"Califomia State University Maritime Academy, Vallejo CA, USA","200 Maritime Academy Dr, Vallejo, CA 94590, USA",38.069706,-122.2306447
"School of the Art Institute of Chicago, Chicago, IL, USA","112 S Michigan Ave, Chicago, IL 60603, USA",41.8802861,-87.6249193
"University of Mount Union, Alliance, OH, USA","1972 Clark Ave, Alliance, OH 44601, USA",40.902231,-81.108754
"Philadelphia University, Philadelphia, PA, USA","4201 Henry Ave, Philadelphia, PA 19144, USA",40.0187208,-75.1922881
"Roger Williams University, Bristol, RI, USA","1 Old Ferry Rd, Bristol, RI 02809, USA",41.6510618,-71.2594597
"Union University, Jackson, TN, USA","1050 Union University Dr, Jackson, TN 38305, USA",35.6773778,-88.8595906
"Central College, Pella, IA, USA","812 University St, Pella, IA 50219, USA",41.400595,-92.919667
"University of Dallas, Irving, TX, USA","1845 E Northgate Dr, Irving, TX 75062, USA",32.8481339,-96.9216857
"Chatham University, Pittsburgh, PA, USA","1 Woodland Rd, Pittsburgh, PA 15232, USA",40.4482193,-79.9242625
"Wittenberg University, Springfield, OH, USA","200 W Ward St, Springfield, OH 45504, USA",39.9365496,-83.8139029
"Hiram College, Hiram, OH, USA","11715 Garfield Rd, Hiram, OH 44234, USA",41.3107322,-81.1439525
"John Brown University, Siloam Springs, AR, USA","2000 W University St, Siloam Springs, AR 72761, USA",36.190767,-94.5594091
"College of Idaho, Caldwell, ID, USA","2112 Cleveland Blvd, Caldwell, ID 83605, USA",43.653597,-116.6768761
"Capital University, Columbus, OH, USA","1 College Ave, Columbus, OH 43209, USA",39.9549246,-82.938559
"University of Missouri-Kansas City, Kansas City, MO, USA","5100 Rockhill Rd, Kansas City, MO 64110, USA",39.0335539,-94.5760259
"New York Institute of Technology, Old Westbury, NY, USA","Northern Blvd & Valentines Ln, Old Westbury, NY 11568, USA",40.8114197,-73.605301
"Otterbein University, Westerville, OH, USA","1 S Grove St, Westerville, OH 43081, USA",40.1268746,-82.9371852
"University of Michigan-Dearborn, Dearborn, MI, USA","4901 Evergreen Rd, Dearborn, MI 48128, USA",42.318409,-83.233202
"University of Louisville, Louisville, KY, USA","2301 S 3rd St, Louisville, KY 40292, USA",38.2122761,-85.7585023
"Virginia Commonwealth University, Richmond, VA, USA","907 Floyd Ave, Richmond, VA 23284, USA",37.5489872,-77.4534286
"The College of St Scholastica, Duluth, MN, USA","1200 Kenwood Ave, Duluth, MN 55811, USA",46.8161783,-92.1060949
"James Madison University, Harrisonburg, VA, USA","800 S Main St, Harrisonburg, VA 22807, USA",38.435092,-78.8697548
"Montclair State University, Montclair, NJ, USA","1 Normal Ave, Montclair, NJ 07043, USA",40.8644792,-74.1985597
"Roanoke College, Salem, VA, USA","221 College Lane, Salem, VA 24153, USA",37.294248,-80.054927
"Norwich University, Northfield, VT, USA","158 Harmon Dr, Northfield, VT 05663, USA",44.1390054,-72.6612317
"Oklahoma State University, Stillwater, OK, USA","Stillwater, OK 74074, USA",36.1270236,-97.0737222
"Gordon College, We nham, MA, USA","255 Grapevine Rd, Wenham, MA 01984, USA",42.5893751,-70.8209286
"St Joseph's College-New Yor,, Brooklyn, NY, USA","245 Clinton Ave, Brooklyn, NY 11205, USA",40.690509,-73.9677729
"St Edward's University, Austin, TX, USA","3001 S Congress Ave, Austin, TX 78704, USA",30.2297224,-97.7538582
"Doane College-Crete, Crete, NE, USA","1014 Boswell Ave, Crete, NE 68333, USA",40.622954,-96.950967
"Gannon University, Erie, PA, USA","109 University Square, Erie, PA 16501, USA",42.1282445,-80.0865882
"Franklin College, Franklin, IN, USA","101 Branigin Blvd, Franklin, IN 46131, USA",39.478646,-86.045479
"Berry College, Mount Berry, GA, USA","2277 Martha Berry Hwy NW, Mt Berry, GA 30149, United States",34.290361,-85.189199
"Marist College, Poughkeepsie, NY, USA","3399 North Rd, Poughkeepsie, NY 12601, USA",41.7224565,-73.9341204
"Lycoming College, Williamsport, PA, USA","700 College Pl, Williamsport, PA 17701, USA",41.246018,-77.000181
"SUNY New Rai, New Patti, NY, USA",,,
"Salve Regina University, Newport RI, USA","100 Ochre Point Ave, Newport, RI 02840, USA",41.4714527,-71.3006438
"Seattle Pacific University, Seattle, WA, USA","3307 3rd Ave W, Seattle, WA 98119, USA",47.6495805,-122.3615366
"Wagner College, Staten Island, NY, USA","1 Campus Rd, Staten Island, NY 10301, USA",40.6149796,-74.0944049
"Wilkes University, Wilkes-Barre, PA, USA","84 W South St, Wilkes-Barre, PA 18701, USA",41.2448632,-75.888107
"LIU Post, Brookville, NY, USA","720 Northern Blvd, Brookville, NY 11548, USA",40.8172349,-73.5900738
"St Ambrose University, Davenport, IA, USA","518 Locust St, Davenport, IA 52803, USA",41.5404254,-90.5807611
"Eastern Mennonite University, Harrisonburg, VA, USA","1200 Park Rd, Harrisonburg, VA 22802, USA",38.4726203,-78.8773972
"Monmouth College, Monmouth, IL, USA","700 E Broadway, Monmouth, IL 61462, USA",40.9135265,-90.6386297
"St John's University-New York, Queens, NY, USA","8000 Utopia Pkwy, Queens, NY 11439, USA",40.7215967,-73.7946899
"Stockton University, Galloway, NJ, USA","101 Vera King Farris Dr, Galloway, NJ 08205, USA",39.4941665,-74.5323795
"Trinity Christian College, Palos Heights, IL, USA","6601 W College Dr, Palos Heights, IL 60463, USA",41.6686186,-87.7841447
"Le Moyne College, Syracuse, NY, USA","1419 Salt Springs Rd, Syracuse, NY 13214, USA",43.0497018,-76.0855042
"Emerson College, Boston, MA, USA","120 Boylston St, Boston, MA 02116, USA",42.3520298,-71.0656551
"University of Arkansas, Fayetteville, AR, USA","Fayetteville, AR 72701, USA",36.0678324,-94.1736551
"East Carolina University, Greenville, NC, USA","E 5th St, Greenville, NC 27858, USA",35.6055108,-77.3645653
"Lincoln Memorial University, Harrogate, TN, USA","6965 Cumberland Gap Pkwy, Harrogate, TN 37752, USA",36.576972,-83.6607601
"University of South Florida, Tampa, FL, USA","4202 E Fowler Ave, Tampa, FL 33620, USA",28.0587031,-82.4138539
"California Lutheran University, Thousand Oaks, CA, USA","60 W Olsen Rd, Thousand Oaks, CA 91360, USA",34.2250167,-118.8788537
"Louisiana State University, Baton Rouge, LA, USA","Baton Rouge, LA 70803, USA",30.4132579,-91.1800023
"University of New Hampshire, Durham, NH, USA","105 Main St, Durham, NH 03824, USA",43.138948,-70.9370252
"University of Indianapolis, Indianapolis, IN, USA","1400 E Hanna Ave, Indianapolis, IN 46227, USA",39.709764,-86.1355187
"Loyola University New Orleans, New Orleans, LA, USA","6363 St Charles Ave, New Orleans, LA 70118, USA",29.935716,-90.1203782
"Eastern Illinois University, Charleston, IL, USA","600 Lincoln Ave, Charleston, IL 61920, USA",39.4780293,-88.1759052
"Millikin University, Decatur, IL, USA","1184 W Main St, Decatur, IL 62522, USA",39.8430961,-88.974817
"Southern Nazarene University, Bethany, OK, USA","6729 NW 39th Expy, Bethany, OK 73008, USA",35.513507,-97.629217
"Whitworth University, Spokane, WA, USA","300 W Hawthorne Rd, Spokane, WA 99251, USA",47.7548728,-117.4178623
"Misericordia University, Dallas, PA, USA","301 Lake Street, Dallas, PA 18612, USA",41.345197,-75.9707268
"Nebraska Wesleyan University, Lincoln, NE, USA","2710 N 48th St, Lincoln, NE 68504, USA",40.8395997,-96.6534974
"Gwynedd Mercy University, Gwynedd Valley, PA, USA","1325 Sumneytown Pike, Gwynedd Valley, PA 19437, USA",40.196788,-75.237334
"Martin Luther College, New Ulm, MN, USA","Chapel of the Christ, 1995 Luther Ct, New Ulm, MN 56073, USA",44.3045605,-94.4720672
"Randolph-Macon College, Ashland, VA, USA","114 College Ave, Ashland, VA 23005, USA",37.7603794,-77.4783518
"University of Alabama in Huntsville, Huntsville, AL, USA","301 Sparkman Dr NW, Huntsville, AL 35899, USA",34.7251414,-86.639747
"McDaniel College, Westminster, MD, USA","2 College Hill, Westminster, MD 21157, USA",39.5829905,-77.0037192
"University of New Mexico, Albuquerque, NM, USA","Albuquerque, NM 87131, USA",35.0843187,-106.6197812
"Hamline University, Saint Paul, MN, USA","1536 Hewitt Ave, St Paul, MN 55104, USA",44.965946,-93.164807
"Maryland Institute College of Art, Baltimore, MD, USA","1300 W Mt Royal Ave, Baltimore, MD 21217, USA",39.307555,-76.6216339
"University of Massachusetts Boston, Boston, MA, USA","100 William T Morrissey Blvd, Boston, MA 02125, USA",42.3148413,-71.0367377
"Clarke University, Dubuque, IA, USA","1550 Clarke Dr, Dubuque, IA 52001, USA",42.5092662,-90.6913801
"University of Texas at Dallas, Richardson, TX, USA","800 W Campbell Rd, Richardson, TX 75080, USA",32.9857619,-96.7500993
"Hastings College, Hastings, NE, USA","710 Turner Ave, Hastings, NE 68901, USA",40.5904193,-98.3732874
"Christian Brothers University, Memphis, TN, USA","650 E Parkway S, Memphis, TN 38104, USA",35.1285367,-89.9810643
"University of Alabama, Tuscaloosa, AL, USA","Tuscaloosa, AL 35487, USA",33.2140233,-87.5391418
"University of Nebraska-Lincoln, Lincoln, NE, USA","1400 R St, Lincoln, NE 68588, USA",40.8201966,-96.7004763
"Maryville University, Saint Louis, MO, USA","650 Maryville University Dr, St. Louis, MO 63141, USA",38.6456624,-90.5047854
"Fairleigh Dickinson University, Teaneck, NJ, USA","1000 River Rd, Teaneck, NJ 07666, USA",40.8977928,-74.030864
"California State University, Chico, Chico, CA, USA","Langdon Hall, 400 W 1st St, Chico, CA 95928, USA",39.7273061,-121.8476768
"Western Illinois University, Macomb, IL, USA","1 University Cir, Macomb, IL 61455, USA",40.476174,-90.684401
"The University of the Arts, Philadelphia, PA, USA","320 S Broad St, Philadelphia, PA 19102, USA",39.945974,-75.165566
"California State University, Long Beach, Long Beach, CA, USA","1250 Bellflower Blvd, Long Beach, CA 90840, United States",33.7838235,-118.1140904
"Eastern Nazarene College, Quincy, MA, USA","23 E Elm Ave, Quincy, MA 02170, USA",42.2715247,-71.0108768
"University of Toledo, Toledo, OH, USA","2801 W Bancroft St, Toledo, OH 43606, USA",41.6580307,-83.6140701
"Marymount University, Arlington, VA, USA","2807 N Glebe Rd, Arlington, VA 22207, USA",38.905351,-77.1277618
"Morehouse College, Atlanta, GA, USA","830 Westview Dr SW, Atlanta, GA 30314, USA",33.7459553,-84.4138651
"Arcadia University, Glenside, PA, USA","450 S Easton Rd, Glenside, PA 19038, USA",40.0914406,-75.1648845
"Truman State University, Kirksville, MO, USA","100 E Normal St, Kirksville, MO 63501, USA",40.1858573,-92.5813724
"University of Minnesota Morris, Morris, MN, USA","600 East 4th Street, Morris, MN 56267, USA",45.5890317,-95.8969661
"Salem College, Winston-Salem, NC, USA","601 Church St S, Winston-Salem, NC 27101, USA",36.0871178,-80.2404828
"University of Charleston, Charleston, WV, USA","2300 MacCorkle Ave SE, Charleston, WV 25304, USA",38.3328289,-81.6165232
"University of Central Florida, Orlando, FL, USA","4000 Central Florida Blvd, Orlando, FL 32816, USA",28.6024274,-81.2000599
"Oglethorpe University, Atlanta, GA, USA","4484 Peachtree Rd NE, Atlanta, GA 30319, USA",33.8761957,-84.3346954
"Massachusetts College of Art and Design, BostoR MA, USA","621 Huntington Ave, Boston, MA 02115, USA",42.3368239,-71.0992668
"Walla Walla University, College Place, WA, USA","204 S College Ave, College Place, WA 99324, USA",46.0464496,-118.3906389
"High Point University, High Point NC, USA","1 University Parkway, High Point, NC 27262, United States",35.9723841,-79.9953079
"Chestnut Hill College, Philadelphia, PA, USA","9601 Germantown Ave, Philadelphia, PA 19118, USA",40.0866725,-75.2286092
"Ohio University, Athens, OH, USA","Athens, OH 45701, USA",39.324358,-82.1013889
"Birmingham-Southern College, Birmingham, AL, USA","900 Arkadelphia Rd, Birmingham, AL 35254, USA",33.5160987,-86.8511644
"Mount St Mary's University, Ernrnitsburg, MD, USA","16300 Old Emmitsburg Rd, Emmitsburg, MD 21727, USA",39.6807058,-77.3490013
"Belmont University, Nashville, TN, USA","1900 Belmont Blvd, Nashville, TN 37212, USA",36.1328981,-86.7940699
"California State Polytechnic University, Pomona, Pomona, CA, USA","3801 W Temple Ave, Pomona, CA 91768, USA",34.0575651,-117.820741
"Shenandoah University, Winchester, VA, USA","1460 University Dr, Winchester, VA 22601, USA",39.1660159,-78.1583388
"Ouachita Baptist University, Arkadelphia, AR, USA","410 Ouachita St, Arkadelphia, AR 71998, USA",34.1274257,-93.0519992
"St Bonaventure University, Saint Bonaventure, NY, USA","3261 W State St, St Bonaventure, NY 14778, USA",42.0784113,-78.4828822
"St Marys University, San Antonio, TX, USA","1 Camino Santa Maria, San Antonio, TX 78228, USA",29.4523378,-98.5640981
"Gonzaga University, Spokane, WA, USA","502 E Boone Ave, Spokane, WA 99202, USA",47.667189,-117.4023849
"Campbell University, Buies Creek, NC, USA","143 Main St, Buies Creek, NC 27506, USA",35.4083372,-78.7394297
"SUNY New Paltz, New Paltz NY, USA","1 Hawk Dr, New Paltz, NY 12561, USA",41.7390054,-74.0851655
